ID,Task,Phase,Section,Priority,Status,Estimate,Dependencies,Tags,Notes
P3-020,Intent classifier with tool calling,Phase 3 - AI Copilot,Intent Routing,P0,Not started,2d,P3-002,ai;intents,
P3-021,Tool find_poi invokes PoiRepository,Phase 3 - AI Copilot,Intent Routing,P0,Not started,1d,P3-020,ai;tools,
P3-022,Tool compare_routes invokes routing alternatives,Phase 3 - AI Copilot,Intent Routing,P0,Not started,1d,P3-020,ai;tools,
P3-023,Tool narrate_trip summarizes plan,Phase 3 - AI Copilot,Intent Routing,P1,Not started,6h,P3-020,ai;tools,
P3-024,Guardrails - never fabricate POI data,Phase 3 - AI Copilot,Intent Routing,P0,Not started,6h,P3-020,ai;safety,
P3-030,Add speech_to_text - push to talk voice,Phase 3 - AI Copilot,Voice,P0,Not started,1d,,ai;voice,
P3-031,Add flutter_tts - voice replies,Phase 3 - AI Copilot,Voice,P0,Not started,6h,P3-011,ai;voice,
P3-032,Hands-free mode toggle on active trip,Phase 3 - AI Copilot,Voice,P1,Not started,2d,P3-030,ai;voice,
P3-033,Audio-only result mode for driving,Phase 3 - AI Copilot,Voice,P0,Not started,1d,P3-031,ai;voice,
P3-040,Persist long-term user preference vectors in Firestore,Phase 3 - AI Copilot,Memory,P0,Not started,1d,P2-010,ai;memory,
P3-041,"What I learned" transparency screen,Phase 3 - AI Copilot,Memory,P0,Not started,1d,P3-040,ai;ui;privacy,
P3-042,Privacy controls - opt out of memory and AI,Phase 3 - AI Copilot,Memory,P0,Not started,6h,P3-040,ai;privacy,
P3-050,LLM-generated hidden gems with citation,Phase 3 - AI Copilot,Hidden Gems AI,P1,Not started,2d,P3-002;P2-060,ai;curation,
P3-051,Editorial moderation queue for AI gems,Phase 3 - AI Copilot,Hidden Gems AI,P0,Not started,1d,P3-050,ai;moderation,
P3-060,Battery-aware EV routing v1,Phase 3 - AI Copilot,EV Deep,P0,Not started,3d,P1-018,ev;routing,
P3-061,Charging queue prediction v1,Phase 3 - AI Copilot,EV Deep,P1,Not started,2d,P2-030,ev;ml,
P3-062,Charger compatibility matcher,Phase 3 - AI Copilot,EV Deep,P0,Not started,1d,P1-003,ev;compat,
P3-070,Driving Score function,Phase 3 - AI Copilot,Driving Score,P1,Not started,1d,P1-028,score,
P3-071,Driving Score screen in Profile,Phase 3 - AI Copilot,Driving Score,P1,Not started,6h,P3-070,score;ui,
P4-001,Premium subscription via RevenueCat,Phase 4 - Scale,Monetization,P0,Not started,1w,,monetization,
P4-002,Paywall placement on assistant + offline + family safety,Phase 4 - Scale,Monetization,P0,Not started,3d,P4-001,monetization,
P4-003,Sponsored station placements + admin tool + Sponsored badge,Phase 4 - Scale,Monetization,P1,Not started,1w,,monetization,
P4-004,Featured restaurants with Featured badge,Phase 4 - Scale,Monetization,P1,Not started,4d,P4-003,monetization,
P4-005,Hotel booking deep-links with affiliate IDs,Phase 4 - Scale,Monetization,P1,Not started,1w,,monetization,
P4-006,FASTag recharge deep-link,Phase 4 - Scale,Monetization,P2,Not started,4d,,monetization,
P4-007,Travel insurance partnership,Phase 4 - Scale,Monetization,P2,Not started,1w,,monetization,
P4-010,Apple CarPlay support,Phase 4 - Scale,Platform,P1,Not started,2w,P3-033,platform;ios,
P4-011,Android Auto support,Phase 4 - Scale,Platform,P1,Not started,2w,P3-033,platform;android,
P4-012,Wear OS companion,Phase 4 - Scale,Platform,P2,Not started,2w,,platform;wear,
P4-013,watchOS companion,Phase 4 - Scale,Platform,P2,Not started,2w,,platform;wear,
P4-014,Dashcam integration MVP,Phase 4 - Scale,Platform,P2,Not started,1w,,dashcam,
P4-020,NestJS gateway in front of Firestore,Phase 4 - Scale,Backend at Scale,P1,Not started,3w,,backend;migration,
P4-021,Migrate POI search to Postgres + PostGIS,Phase 4 - Scale,Backend at Scale,P1,Not started,4w,P4-020,backend;db;migration,
P4-022,Redis cache layer for hot routes + POIs,Phase 4 - Scale,Backend at Scale,P1,Not started,1w,P4-020,backend;cache,
P4-023,Kafka pipeline for community reports,Phase 4 - Scale,Backend at Scale,P2,Not started,3w,P4-020,backend;ingestion,
P4-024,Background ML pipeline - trust + queue prediction,Phase 4 - Scale,Backend at Scale,P2,Not started,4w,P4-020,backend;ml,
P4-025,Migrate AI proxy to NestJS gateway,Phase 4 - Scale,Backend at Scale,P2,Not started,1w,P4-020,backend;ai,
P4-030,Referral program,Phase 4 - Scale,Growth,P1,Not started,1w,P4-001,growth,
P4-031,In-app review prompt after long trips,Phase 4 - Scale,Growth,P1,Not started,2d,,growth,
P4-032,Re-engagement notifications,Phase 4 - Scale,Growth,P2,Not started,3d,,growth,
